KANAL;typ;nazwa_dluga;Nazwa_krotka;Rozdzielczosc;USI;EPG_ID;typ_kanalu;male_logo;duze_logo;Lista_praw;ON_ID;TS_ID;S_ID;Type;IP;Port;Protocol;Service_Name;Content_Rights;
0;MOZAIKA;;;;;;;;;;;T01.00.23_E01.00.26;
242;Filmy i seriale;AXN Spin HD;AXN Spin HD;HD;245;14201;IP;axn_spin_x_b8d35afb9caff54948a99ea71.png;axn_spin_x_c76129607e37ffcbba2b3a978.png;;1;211;310;1;232.0.8.3;5500;0;AXN Spin HD;1;T01.00.23_E01.00.26;
244;Filmy i seriale;Romance TV HD;Romance TV HD;HD;428;14174;IP;_f16b9711e54ea15c914a11e35.romance_tv_hd__small;_bc66c0682e05c97799cd734b3.romance_tv_hd__big;;1;28;127;1;232.0.20.69;5500;0;Romance TV HD IP;1;T01.00.23_E01.00.26;
245;Filmy i seriale;Sci Fi Universal;Sci Fi Universal;SD;51;14096;IP;_cb264c068eedbee1c16731481.sci_fi_channel__small;_dcc1ef81fd1f131ec584cd006.sci_fi_channel__big;;1;63;162;1;232.0.12.45;5500;0;Sci Fi Universal;1;T01.00.23_E01.00.26;
246;Filmy i seriale;AMC HD;AMC HD;HD;438;14164;IP;amc_x_b2cf71f44662b74b7ed3622e0.png;amc_x_f4da8fca6e0c989ec81aa6154.png;;1;52;151;1;232.0.20.128;5500;0;AMC HD IP;1;T01.00.23_E01.00.26;
247;Filmy i seriale;CBS Europa HD;CBS Europa HD;HD;270;14228;IP;cbs_europa_x_c70a2c76eee80680c487e0b78.png;cbs_europa_x_2feaa1d402aa5c98d7359f865.png;;1;247;346;1;232.0.11.18;5500;0;CBS Europa HD;1;T01.00.23_E01.00.26;
248;Filmy i seriale;CBS Action;CBS Action;SD;56;14227;IP;csb_action_x_193e0dc8ad56211c0955755ff.png;csb_action_x_7157d04dc268e98856d9d9893.png;;1;365;464;1;232.0.9.16;5500;0;CBS Action;1;T01.00.23_E01.00.26;
250;Filmy i seriale;Sundance TV HD;Sundance TV HD;HD;261;14195;IP;sundance_x_bc17b316dea865ae387a21179.png;sundance_x_036c796b0f541d9093d78ceb0.png;;1;45;134;1;232.0.6.144;5500;0;Sundance TV HD;1;T01.00.23_E01.00.26;
251;Filmy i seriale;Ale Kino+ HD;Ale Kino+ HD;HD;415;14200;IP;x_alekinohd_cef4bcb6f149f987f1ac38a58.png;x_alekinohd_85d261f33f990d5ce14d8f168.png;;1;238;337;1;232.0.20.38;5500;0;Ale Kino+ HD IP;1;T01.00.23_E01.00.26;
252;SERWIS INTERAKTYWNY;Zwiastuny VOD;Zwiastuny VOD;;;;;vod_promo_x_a12cefb1da84d108842b265f7.png};vod_promo_x_94c928c0cb0220ba1b62cf4b2.png;;;T01.00.23_E01.00.26;
253;Filmy i seriale;Super Polsat;Super Polsat;SD;282;14294;IP;superpolsat_x_47c7198d5340a4c1ed955ae8f.png;superpolsat_x_369f8bc28d2c4bb8050a5e964.png;;1;152;251;1;232.0.6.14;5500;0;Super Polsat;1;T01.00.23_E01.00.26;
